date,exchange
2007-01-09,935.1986517
2007-01-10,934.3069291
2007-01-11,933.7651807
2007-01-12,934.0364371
2007-01-15,932.9389904
2007-01-16,932.8195933
2007-01-17,932.0376005
2007-01-18,931.6326638
2007-01-19,932.065993
2007-01-22,931.5790546
2007-01-23,931.6933
2007-01-24,931.1537332
2007-01-25,930.9961348
2007-01-26,931.6779634
2007-01-29,931.9102366
2007-01-30,932.2464683
2007-01-31,931.9168118
2007-02-01,931.9559891
2007-02-02,932.8209866
2007-02-05,933.5245496
2007-02-06,933.9952407
2007-02-07,933.7912922
2007-02-08,933.9492571
2007-02-09,934.9279829
2007-02-12,935.9588985
2007-02-13,936.5381042
2007-02-14,936.4432692
2007-02-15,936.7106564
2007-02-16,937.7981941
2007-02-20,939.7965227
2007-02-21,939.7715136
2007-02-22,940.0899324
2007-02-23,941.2051823
2007-02-26,942.4370684
2007-02-27,942.9897726
2007-02-28,942.8093276
2007-03-02,943.7877287
2007-03-05,943.9595545
2007-03-06,944.0614242
2007-03-07,943.3860357
2007-03-08,942.9670362
2007-03-09,943.2613961
2007-03-12,941.5946055
2007-03-13,941.0667083
2007-03-14,939.7681931
2007-03-15,938.7421566
2007-03-16,938.4549792
2007-03-19,935.2853775
2007-03-20,934.3634461
2007-03-21,932.7351445
2007-03-22,931.448267
2007-03-23,930.9725104
2007-03-26,927.6814489
2007-03-27,926.8629845
2007-03-28,925.4042784
2007-03-29,924.347506
2007-03-30,924.1555148
2007-04-02,921.9545708
2007-04-03,921.5480067
2007-04-04,920.5090893
2007-04-05,919.8702052
2007-04-06,920.0847999
2007-04-09,918.9526866
2007-04-10,918.8295403
2007-04-11,918.0295424
2007-04-12,917.5824429
2007-04-13,917.9406347
2007-04-16,916.9636008
2007-04-17,916.8123416
2007-04-18,915.9538134
2007-04-19,915.4251833
2007-04-20,915.6871233
2007-04-23,914.4235137
2007-04-24,914.2083171
2007-04-25,913.3164559
2007-04-26,912.7930437
2007-04-27,913.1057193
2007-04-30,912.3179804
2007-05-02,911.8217265
2007-05-03,911.6901132
2007-05-04,912.4474198
2007-05-07,913.2466983
2007-05-08,913.8925264
2007-05-09,913.9320517
2007-05-10,914.3968486
2007-05-11,915.7389267
2007-05-14,918.1070344
2007-05-15,919.1777085
2007-05-16,919.5770324
2007-05-17,920.328804
2007-05-18,921.8787791
2007-05-21,924.3597033
2007-05-22,925.2949452
2007-05-23,925.4757566
2007-05-25,927.1124996
2007-05-28,928.1478736
2007-05-29,928.5232702
2007-05-30,928.1250909
2007-05-31,927.9945606
2007-06-01,928.5966017
2007-06-04,928.0477173
2007-06-05,927.9821081
2007-06-07,926.7530335
2007-06-08,927.1072877
2007-06-11,926.2560974
2007-06-12,926.2345335
2007-06-13,925.5644554
2007-06-14,925.2877857
2007-06-15,925.8669501
2007-06-18,925.9187412
2007-06-19,926.2394905
2007-06-20,925.9138936
2007-06-21,925.9727108
2007-06-22,926.8675588
2007-06-25,927.6503254
2007-06-26,928.1155359
2007-06-27,927.874518
2007-06-28,927.9541508
2007-06-29,928.8038271
2007-07-02,929.0582414
2007-07-03,929.2256248
2007-07-04,928.6343404
2007-07-05,928.31831
2007-07-06,928.735049
2007-07-09,927.55991
2007-07-10,927.2404146
2007-07-11,926.1739596
2007-07-12,925.404266
2007-07-13,925.3981099
2007-07-16,923.2193251
2007-07-18,921.4469945
2007-07-19,920.5809725
2007-07-20,920.5452913
2007-07-23,918.6719806
2007-07-24,918.3525618
2007-07-25,917.4033226
2007-07-26,916.8650388
2007-07-27,917.1994428
2007-07-30,916.6192249
2007-07-31,916.7667126
2007-08-01,916.2896969
2007-08-02,916.2216516
2007-08-03,917.0173777
2007-08-06,917.7061395
2007-08-07,918.2209725
2007-08-08,918.0765958
2007-08-09,918.3034758
2007-08-10,919.3541556
2007-08-13,920.5560389
2007-08-14,921.1572766
2007-08-16,921.29018
2007-08-17,922.3079504
2007-08-20,923.2039421
2007-08-21,923.6424879
2007-08-22,923.3547305
2007-08-23,923.3753477
2007-08-24,924.1615368
2007-08-27,924.2721787
2007-08-28,924.428883
2007-08-29,923.8544485
2007-08-30,923.58676
2007-08-31,924.0862926
2007-09-03,923.3807606
2007-09-04,923.2916327
2007-09-05,922.490395
2007-09-06,922.0184779
2007-09-07,922.3398385
2007-09-10,921.2886912
2007-09-11,921.1569198
2007-09-12,920.3532049
2007-09-13,919.9205828
2007-09-14,920.3240146
2007-09-17,919.7751656
2007-09-18,919.8920261
2007-09-19,919.3733255
2007-09-20,919.2582489
2007-09-21,920.0070373
2007-09-27,921.2386236
2007-09-28,922.336583
2007-10-01,923.7577723
2007-10-02,924.445177
2007-10-04,924.7387406
2007-10-05,925.8187718
2007-10-08,926.753824
2007-10-09,927.1367439
2007-10-10,926.7508944
2007-10-11,926.6274324
2007-10-12,927.2211888
2007-10-15,926.4606282
2007-10-16,926.2348226
2007-10-17,925.2383633
2007-10-18,924.5151321
2007-10-19,924.532841
2007-10-22,922.3115959
2007-10-23,921.7265092
2007-10-24,920.4512122
2007-10-25,919.5374783
2007-10-26,919.4592104
2007-10-29,917.5502143
2007-10-30,917.2699183
2007-10-31,916.3947622
2007-11-01,915.9703684
2007-11-02,916.4625143
2007-11-05,916.6438019
2007-11-06,917.1436535
2007-11-07,917.0662151
2007-11-08,917.4416888
2007-11-09,918.72026
2007-11-12,921.0287804
2007-11-13,922.1137084
2007-11-14,922.5389951
2007-11-15,923.3249862
2007-11-16,925.3644379
2007-11-19,929.3061922
2007-11-20,930.7140313
2007-11-21,931.3545615
2007-11-22,932.2532284
2007-11-23,933.8593441
2007-11-26,936.0252534
2007-11-27,936.7218085
2007-11-28,936.6135182
2007-11-29,936.7399565
2007-11-30,937.5646813
2007-12-03,937.4690189
2007-12-04,937.4814041
2007-12-05,936.7420857
2007-12-06,936.2994823
2007-12-07,936.6243347
2007-12-10,935.4889087
2007-12-11,935.3136906
2007-12-12,934.4645791
2007-12-13,933.986443
2007-12-14,934.3449736
2007-12-17,933.6569367
2007-12-18,933.7187734
2007-12-20,932.9425756
2007-12-21,933.5964157
2007-12-24,933.7692985
2007-12-26,933.7291697
2007-12-27,933.7330029
2007-12-28,934.5499882
2007-12-31,935.0002561
2008-01-02,934.9790986
2008-01-03,934.9514265
2008-01-04,935.7154694
2008-01-07,935.9314872
2008-01-08,936.1872543
2008-01-09,935.7477187
2008-01-10,935.6531672
2008-01-11,936.3663471
2008-01-14,936.5626635
2008-01-15,936.8645076
2008-01-16,936.4994218
2008-01-17,936.5076298
2008-01-18,937.3509943
2008-01-21,938.082712
2008-01-22,938.6018062
2008-01-23,938.4675606
2008-01-24,938.7163635
2008-01-25,939.8061968
2008-01-28,941.2758072
2008-01-29,942.0296032
2008-01-30,942.1201283
2008-01-31,942.5819829
2008-02-01,943.8719424
2008-02-04,945.8610194
2008-02-05,946.7625501
2008-02-11,951.3138906
2008-02-12,952.3236598
2008-02-13,952.6594923
2008-02-14,953.3580423
2008-02-15,954.8777503
2008-02-18,957.5217818
2008-02-19,958.6286515
2008-02-20,959.0518437
2008-02-21,959.8242383
2008-02-22,961.4000929
2008-02-25,964.0610197
2008-02-26,965.1077231
2008-02-27,965.4306769
2008-02-28,966.0590785
2008-02-29,967.444138
2008-03-03,969.2338259
2008-03-04,969.889424
2008-03-05,969.773142
2008-03-06,969.9172482
2008-03-07,970.7771857
2008-03-10,970.8051578
2008-03-11,970.8356794
2008-03-12,970.0894302
2008-03-13,969.6078673
2008-03-14,969.8558577
2008-03-17,968.2234686
2008-03-18,967.788145
2008-03-19,966.6326836
2008-03-20,965.8047806
2008-03-21,965.7743269
2008-03-24,963.7433537
2008-03-25,963.3230302
2008-03-26,962.2537836
2008-03-27,961.5794194
2008-03-28,961.7645401
2008-03-31,960.6816104
2008-04-01,960.6493908
2008-04-02,959.9885222
2008-04-03,959.7329017
2008-04-04,960.3372868
2008-04-07,960.4231582
2008-04-08,960.7239721
2008-04-10,960.3517857
2008-04-11,961.1599004
2008-04-14,961.5707196
2008-04-15,961.8902108
2008-04-16,961.5038212
2008-04-17,961.44697
2008-04-18,962.1785577
2008-04-21,962.2941388
2008-04-22,962.5237035
2008-04-23,962.0670585
2008-04-24,961.9684453
2008-04-25,962.6949178
2008-04-28,963.0814319
2008-04-29,963.5123684
2008-04-30,963.3166297
2008-05-02,964.6427176
2008-05-06,967.4516242
2008-05-07,967.8365734
2008-05-08,968.6529365
2008-05-09,970.354802
2008-05-13,975.3504431
2008-05-14,976.175126
2008-05-15,978.8514848
2008-05-16,982.342331
2008-05-19,990.7401982
2008-05-20,993.6763165
2008-05-21,995.8700355
2008-05-22,998.3482645
2008-05-23,1001.561392
2008-05-26,1008.718527
2008-05-27,1011.135881
2008-05-28,1012.776472
2008-05-29,1014.679326
2008-05-30,1017.307333
2008-06-02,1022.774885
2008-06-03,1024.69003
2008-06-04,1025.876256
2008-06-05,1027.381169
2008-06-09,1034.564301
2008-06-10,1036.434236
2008-06-11,1037.647086
2008-06-12,1039.246586
2008-06-13,1041.697123
2008-06-16,1047.355066
2008-06-17,1049.548828
2008-06-18,1051.101691
2008-06-19,1053.046184
2008-06-20,1055.835489
2008-06-23,1062.366189
2008-06-24,1064.771416
2008-06-25,1066.482917
2008-06-26,1068.527387
2008-06-27,1071.353722
2008-06-30,1077.599851
2008-07-01,1079.780757
2008-07-02,1081.208497
2008-07-03,1082.915196
2008-07-04,1085.356494
2008-07-07,1090.247029
2008-07-08,1091.940662
2008-07-09,1092.880169
2008-07-10,1094.107835
2008-07-11,1096.089201
2008-07-14,1099.805037
2008-07-15,1101.201455
2008-07-16,1101.901269
2008-07-17,1102.951134
2008-07-18,1104.819625
2008-07-21,1108.59634
2008-07-22,1110.142888
2008-07-23,1111.052986
2008-07-24,1112.368775
2008-07-25,1114.553395
2008-07-28,1119.514797
2008-07-29,1121.510986
2008-07-30,1122.885489
2008-07-31,1124.672868
2008-08-01,1127.32889
2008-08-04,1133.635395
2008-08-05,1136.036935
2008-08-06,1137.786901
2008-08-07,1139.915907
2008-08-08,1142.876524
2008-08-11,1149.853814
2008-08-12,1152.394539
2008-08-13,1154.241385
2008-08-14,1156.425743
2008-08-18,1166.200399
2008-08-19,1168.61462
2008-08-20,1170.30567
2008-08-21,1172.307693
2008-08-22,1175.077347
2008-08-25,1181.145224
2008-08-26,1183.288061
2008-08-27,1184.698972
2008-08-28,1186.415229
2008-08-29,1188.896679
2008-09-01,1194.118298
2008-09-02,1195.996525
2008-09-03,1197.157404
2008-09-04,1198.641766
2008-09-05,1200.913015
2008-09-08,1205.668608
2008-09-09,1207.457023
2008-09-10,1208.56553
2008-09-11,1210.037201
2008-09-12,1212.337183
2008-09-16,1219.42326
2008-09-17,1220.770805
2008-09-18,1222.518722
2008-09-19,1225.128525
2008-09-22,1231.30882
2008-09-23,1233.687288
2008-09-24,1235.42913
2008-09-25,1237.566774
2008-09-26,1240.553514
2008-09-29,1247.704452
2008-09-30,1250.326167
2008-10-01,1252.258782
2008-10-02,1254.52842
2008-10-06,1264.518126
2008-10-07,1266.923365
2008-10-08,1268.568736
2008-10-09,1270.483655
2008-10-10,1273.120996
2008-10-13,1278.50039
2008-10-14,1280.316472
2008-10-15,1281.355531
2008-10-16,1282.659131
2008-10-17,1284.692786
2008-10-20,1288.435035
2008-10-21,1289.804628
2008-10-22,1290.465708
2008-10-23,1291.469558
2008-10-24,1293.289976
2008-10-27,1296.968619
2008-10-28,1298.51834
2008-10-29,1299.459655
2008-10-30,1300.840304
2008-10-31,1303.12845
2008-11-03,1308.670248
2008-11-04,1309.425101
2008-11-05,1309.607646
2008-11-06,1310.250885
2008-11-07,1311.807655
2008-11-10,1315.036474
2008-11-11,1316.462959
2008-11-12,1317.249427
2008-11-13,1318.416973
2008-11-14,1320.408135
2008-11-17,1324.326236
2008-11-18,1325.76358
2008-11-19,1326.449881
2008-11-20,1327.408646
2008-11-21,1329.086991
2008-11-24,1331.517717
2008-11-25,1332.309865
2008-11-26,1332.296429
2008-11-27,1332.514445
2008-11-28,1333.425077
2008-12-01,1333.532418
2008-12-02,1333.588681
2008-12-03,1332.879352
2008-12-04,1332.452162
2008-12-05,1332.777516
2008-12-08,1331.555844
2008-12-09,1331.324776
2008-12-10,1330.408027
2008-12-11,1329.851863
2008-12-12,1330.123537
2008-12-15,1329.139077
2008-12-16,1329.096022
2008-12-17,1328.407667
2008-12-18,1328.111029
2008-12-19,1328.663949
2008-12-22,1328.562117
2008-12-23,1328.798275
2008-12-24,1328.369614
2008-12-26,1329.065131
2008-12-29,1329.372901
2008-12-30,1329.674965
2008-12-31,1329.278725
2009-01-02,1329.950518
2009-01-05,1330.066752
2009-01-06,1330.284502
2009-01-07,1329.803182
2009-01-08,1329.66244
2009-01-09,1330.324536
2009-01-12,1330.33582
2009-01-13,1330.565404
2009-01-14,1330.123159
2009-01-15,1330.049746
2009-01-16,1330.807576
2009-01-19,1331.26584
2009-01-20,1331.690584
2009-01-21,1331.461611
2009-01-22,1331.615995
